releaseName,releaseDate,prsOpened,prsClosed
IPython 1.0.0,2013-08-09T01:01:50Z,3966,3385
IPython 1.1.0,2013-09-09T22:39:46Z,224,172
IPython 1.2.0,2014-02-10T21:52:22Z,898,868
IPython 1.2.1,2014-02-24T22:07:43Z,127,92
IPython 2.1.0,2014-05-21T19:28:11Z,668,597
2.4.1,2015-02-09T22:58:44Z,1837,1836
IPython 3.0,2015-02-28T00:31:49Z,173,109
None,2017-04-10T21:52:39Z,2388,2329
