tag_name,created_at,id,upload_url,name,zipball_url,published_at,tarball_url,assets_url,prerelease,url,html_url,draft,target_commitish,
v3.1.2-release-src,2013-06-27T16:56:26Z,4284,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4284/assets{?namelabel},v3.1.2,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.2-release-src,2013-07-05T04:18:03Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.2-release-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4284/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4284,https://github.com/wet-boew/wet-boew/releases/tag/v3.1.2-release-src,False,master,
v3.0.8-release-src,2013-06-27T16:58:02Z,4282,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4282/assets{?namelabel},v3.0.8,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.8-release-src,2013-07-05T04:16:35Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.8-release-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4282/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4282,https://github.com/wet-boew/wet-boew/releases/tag/v3.0.8-release-src,False,master,
v3.1.1-release-src,2013-05-16T04:19:36Z,4279,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4279/assets{?namelabel},v3.1.1,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.1-release-src,2013-07-05T04:15:26Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.1-release-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4279/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4279,https://github.com/wet-boew/wet-boew/releases/tag/v3.1.1-release-src,False,master,
v3.1.0-rc1-src,2013-04-04T03:44:01Z,4275,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4275/assets{?namelabel},v3.1.0 Release candidate 1,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-rc1-src,2013-07-05T04:09:14Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-rc1-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4275/assets,True,https://api.github.com/repos/wet-boew/wet-boew/releases/4275,https://github.com/wet-boew/wet-boew/releases/tag/v3.1.0-rc1-src,False,master,
v3.0.5-release-src,2013-02-15T22:03:22Z,4274,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4274/assets{?namelabel},v3.0.5,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.5-release-src,2013-07-05T04:07:25Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.5-release-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4274/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4274,https://github.com/wet-boew/wet-boew/releases/tag/v3.0.5-release-src,False,master,
v3.1.0-b2-src,2013-02-15T21:05:52Z,4273,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4273/assets{?namelabel},v3.1.0 Beta 2,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-b2-src,2013-07-05T04:05:46Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-b2-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4273/assets,True,https://api.github.com/repos/wet-boew/wet-boew/releases/4273,https://github.com/wet-boew/wet-boew/releases/tag/v3.1.0-b2-src,False,master,
v3.0.4-release-src,2013-01-24T06:14:14Z,4272,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4272/assets{?namelabel},v3.0.4,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.4-release-src,2013-07-05T04:03:20Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.4-release-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4272/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4272,https://github.com/wet-boew/wet-boew/releases/tag/v3.0.4-release-src,False,master,
v3.0.3-release-src,2012-12-21T19:21:36Z,4269,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4269/assets{?namelabel},v3.0.3,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.0.3-release-src,2013-07-05T03:59:56Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.0.3-release-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4269/assets,False,https://api.github.com/repos/wet-boew/wet-boew/releases/4269,https://github.com/wet-boew/wet-boew/releases/tag/v3.0.3-release-src,False,master,
v3.1.0-b1-src,2012-12-21T19:01:31Z,4267,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4267/assets{?namelabel},v3.1.0 Beta 1,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-b1-src,2013-07-05T03:56:55Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-b1-src,https://api.github.com/repos/wet-boew/wet-boew/releases/4267/assets,True,https://api.github.com/repos/wet-boew/wet-boew/releases/4267,https://github.com/wet-boew/wet-boew/releases/tag/v3.1.0-b1-src,False,master,
v3.1.0-a1,2012-12-03T03:14:27Z,4266,https://uploads.github.com/repos/wet-boew/wet-boew/releases/4266/assets{?namelabel},v3.1.0 Alpha 1,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-a1,2013-07-05T03:51:27Z,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-a1,https://api.github.com/repos/wet-boew/wet-boew/releases/4266/assets,True,https://api.github.com/repos/wet-boew/wet-boew/releases/4266,https://github.com/wet-boew/wet-boew/releases/tag/v3.1.0-a1,False,master,
