name,commit_sha,tarball_url,commit_url,zipball_url,
v3.1.6,1a031cd4969b1a04095f5bb7427850ab1377d838,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.6,https://api.github.com/repos/wet-boew/wet-boew/commits/1a031cd4969b1a04095f5bb7427850ab1377d838,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.6,
v3.1.5,2f8e19ab4bc65f578d21ea6950132e2ee039eefc,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.5,https://api.github.com/repos/wet-boew/wet-boew/commits/2f8e19ab4bc65f578d21ea6950132e2ee039eefc,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.5,
v3.1.4-release-src,19ed066a58097dc3ddd013c9bb3864cab1bf03f6,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.4-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/19ed066a58097dc3ddd013c9bb3864cab1bf03f6,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.4-release-src,
v3.1.3-release-src,2cde7986ea54ac87508c3a4e962571e8bbd39504,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.3-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/2cde7986ea54ac87508c3a4e962571e8bbd39504,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.3-release-src,
v3.1.2-release-src,03f2a68a52103bb4ceab8f94c7b17de5403f7068,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.2-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/03f2a68a52103bb4ceab8f94c7b17de5403f7068,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.2-release-src,
v3.1.1-release-src,f905129ab9345e1201c46cd274fd04686d4bab29,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.1-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/f905129ab9345e1201c46cd274fd04686d4bab29,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.1-release-src,
v3.1.0-release-src,50478d34651c7567ca300fc5d9243c706b26fb01,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-release-src,https://api.github.com/repos/wet-boew/wet-boew/commits/50478d34651c7567ca300fc5d9243c706b26fb01,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-release-src,
v3.1.0-rc1-src,07388a4329f9cc696b9b6c496ab14e71e24be03f,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-rc1-src,https://api.github.com/repos/wet-boew/wet-boew/commits/07388a4329f9cc696b9b6c496ab14e71e24be03f,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-rc1-src,
v3.1.0-b2-src,0486dc6890c2b3d49618e0c71e835f3df5760280,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-b2-src,https://api.github.com/repos/wet-boew/wet-boew/commits/0486dc6890c2b3d49618e0c71e835f3df5760280,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-b2-src,
v3.1.0-b2-dist,1307fa13f3eef70cfe151f8df5fd770e5491c897,https://api.github.com/repos/wet-boew/wet-boew/tarball/v3.1.0-b2-dist,https://api.github.com/repos/wet-boew/wet-boew/commits/1307fa13f3eef70cfe151f8df5fd770e5491c897,https://api.github.com/repos/wet-boew/wet-boew/zipball/v3.1.0-b2-dist,
