commit_url,name,commit_sha,tarball_url,zipball_url,
https://api.github.com/repos/golang/go/commits/6aad41919bd5317d3b9d0b9a963a2cd0ced012f9,weekly.2010-04-13,6aad41919bd5317d3b9d0b9a963a2cd0ced012f9,https://api.github.com/repos/golang/go/tarball/weekly.2010-04-13,https://api.github.com/repos/golang/go/zipball/weekly.2010-04-13,
https://api.github.com/repos/golang/go/commits/c2f3737cb01bf35991a775c14cd28e5a2d3a102e,weekly.2010-03-30,c2f3737cb01bf35991a775c14cd28e5a2d3a102e,https://api.github.com/repos/golang/go/tarball/weekly.2010-03-30,https://api.github.com/repos/golang/go/zipball/weekly.2010-03-30,
https://api.github.com/repos/golang/go/commits/a1723941e0a1e128e0a0b6ecde9a054214e55784,weekly.2010-03-22,a1723941e0a1e128e0a0b6ecde9a054214e55784,https://api.github.com/repos/golang/go/tarball/weekly.2010-03-22,https://api.github.com/repos/golang/go/zipball/weekly.2010-03-22,
https://api.github.com/repos/golang/go/commits/6f9272f5dd568377cfa1b2862de7e12096539089,weekly.2010-03-15,6f9272f5dd568377cfa1b2862de7e12096539089,https://api.github.com/repos/golang/go/tarball/weekly.2010-03-15,https://api.github.com/repos/golang/go/zipball/weekly.2010-03-15,
https://api.github.com/repos/golang/go/commits/baa65fd1066c867ee647fc5a19b6107fa0f91263,weekly.2010-03-04,baa65fd1066c867ee647fc5a19b6107fa0f91263,https://api.github.com/repos/golang/go/tarball/weekly.2010-03-04,https://api.github.com/repos/golang/go/zipball/weekly.2010-03-04,
https://api.github.com/repos/golang/go/commits/ef81b024b697a292a84e45288d03af2acbf5ff94,weekly.2010-02-23,ef81b024b697a292a84e45288d03af2acbf5ff94,https://api.github.com/repos/golang/go/tarball/weekly.2010-02-23,https://api.github.com/repos/golang/go/zipball/weekly.2010-02-23,
https://api.github.com/repos/golang/go/commits/d3a6cd4cd49172d5e0201b85923156137ff68963,weekly.2010-02-17,d3a6cd4cd49172d5e0201b85923156137ff68963,https://api.github.com/repos/golang/go/tarball/weekly.2010-02-17,https://api.github.com/repos/golang/go/zipball/weekly.2010-02-17,
https://api.github.com/repos/golang/go/commits/e6004b3de3d697d827591ef034931315fdbcecf6,weekly.2010-02-04,e6004b3de3d697d827591ef034931315fdbcecf6,https://api.github.com/repos/golang/go/tarball/weekly.2010-02-04,https://api.github.com/repos/golang/go/zipball/weekly.2010-02-04,
https://api.github.com/repos/golang/go/commits/492e13e3cde9bd3ee7d4aa6a3aa83c7c14738ec6,weekly.2010-01-27,492e13e3cde9bd3ee7d4aa6a3aa83c7c14738ec6,https://api.github.com/repos/golang/go/tarball/weekly.2010-01-27,https://api.github.com/repos/golang/go/zipball/weekly.2010-01-27,
https://api.github.com/repos/golang/go/commits/495936b58c343b12ac1bfa95859590e985751f0c,weekly.2010-01-13,495936b58c343b12ac1bfa95859590e985751f0c,https://api.github.com/repos/golang/go/tarball/weekly.2010-01-13,https://api.github.com/repos/golang/go/zipball/weekly.2010-01-13,
https://api.github.com/repos/golang/go/commits/fd974e096dcdba69ab24ca31bb47e6b639a7306b,weekly.2010-01-05,fd974e096dcdba69ab24ca31bb47e6b639a7306b,https://api.github.com/repos/golang/go/tarball/weekly.2010-01-05,https://api.github.com/repos/golang/go/zipball/weekly.2010-01-05,
https://api.github.com/repos/golang/go/commits/4551b00da36e0419251f718fe80cf72132fd6f7d,weekly.2009-12-22,4551b00da36e0419251f718fe80cf72132fd6f7d,https://api.github.com/repos/golang/go/tarball/weekly.2009-12-22,https://api.github.com/repos/golang/go/zipball/weekly.2009-12-22,
https://api.github.com/repos/golang/go/commits/5facb847703522e2d0716bf32500974aaf20fc20,weekly.2009-12-09,5facb847703522e2d0716bf32500974aaf20fc20,https://api.github.com/repos/golang/go/tarball/weekly.2009-12-09,https://api.github.com/repos/golang/go/zipball/weekly.2009-12-09,
https://api.github.com/repos/golang/go/commits/b73b43ea3165a52bb9c3d4263954800f4055f426,weekly.2009-12-07,b73b43ea3165a52bb9c3d4263954800f4055f426,https://api.github.com/repos/golang/go/tarball/weekly.2009-12-07,https://api.github.com/repos/golang/go/zipball/weekly.2009-12-07,
