created_at,number,review_comments_url,title,locked,merge_commit_sha,review_comment_url,statuses_url,html_url,comments_url,closed_at,state,patch_url,user_login,merged_at,url,commits_url,issue_url,user_htmlURL,diff_url,
2017-04-11T20:45:39Z,19936,https://api.github.com/repos/golang/go/pulls/19936/comments,Document creation mode for ioutil.TempDir,False,32deac7aa41de8a4ddbd5e694490c8515d817253,https://api.github.com/repos/golang/go/pulls/comments{/number},https://api.github.com/repos/golang/go/statuses/1e6fb997c7e6e5b987697729adf8eb00338a08a3,https://github.com/golang/go/pull/19936,https://api.github.com/repos/golang/go/issues/19936/comments,2017-04-11T20:45:40Z,closed,https://github.com/golang/go/pull/19936.patch,vosst,None,https://api.github.com/repos/golang/go/pulls/19936,https://api.github.com/repos/golang/go/pulls/19936/commits,https://api.github.com/repos/golang/go/issues/19936,https://github.com/vosst,https://github.com/golang/go/pull/19936.diff,
2017-04-10T14:59:01Z,19908,https://api.github.com/repos/golang/go/pulls/19908/comments,Minor update for new contributors,False,21f4c327f2e57da5e7cbe656903bdc9326120737,https://api.github.com/repos/golang/go/pulls/comments{/number},https://api.github.com/repos/golang/go/statuses/a3c7208eadf0eb49da70fb43d2e777deb05cfa14,https://github.com/golang/go/pull/19908,https://api.github.com/repos/golang/go/issues/19908/comments,2017-04-10T14:59:02Z,closed,https://github.com/golang/go/pull/19908.patch,patil16nit,None,https://api.github.com/repos/golang/go/pulls/19908,https://api.github.com/repos/golang/go/pulls/19908/commits,https://api.github.com/repos/golang/go/issues/19908,https://github.com/patil16nit,https://github.com/golang/go/pull/19908.diff,
2017-03-21T17:01:40Z,19640,https://api.github.com/repos/golang/go/pulls/19640/comments,Use pipe2() on FreeBSD.,False,56e461d64d3b6451028eaf1e1aa745c0362c92cd,https://api.github.com/repos/golang/go/pulls/comments{/number},https://api.github.com/repos/golang/go/statuses/377ebecbeac6ab047e9abc6ec916b12403426f67,https://github.com/golang/go/pull/19640,https://api.github.com/repos/golang/go/issues/19640/comments,2017-03-21T17:01:41Z,closed,https://github.com/golang/go/pull/19640.patch,glebius,None,https://api.github.com/repos/golang/go/pulls/19640,https://api.github.com/repos/golang/go/pulls/19640/commits,https://api.github.com/repos/golang/go/issues/19640,https://github.com/glebius,https://github.com/golang/go/pull/19640.diff,
2017-02-16T00:18:04Z,19117,https://api.github.com/repos/golang/go/pulls/19117/comments,Go uses Gerrit not GitHub PRs,True,6058b758f41b70d875cf1662b7b27ee1f81f5342,https://api.github.com/repos/golang/go/pulls/comments{/number},https://api.github.com/repos/golang/go/statuses/75aa1e379ffd752f418bb1487dfd176b5cadd73f,https://github.com/golang/go/pull/19117,https://api.github.com/repos/golang/go/issues/19117/comments,2017-02-24T18:49:28Z,closed,https://github.com/golang/go/pull/19117.patch,rakyll,None,https://api.github.com/repos/golang/go/pulls/19117,https://api.github.com/repos/golang/go/pulls/19117/commits,https://api.github.com/repos/golang/go/issues/19117,https://github.com/rakyll,https://github.com/golang/go/pull/19117.diff,
2017-02-09T17:51:03Z,19011,https://api.github.com/repos/golang/go/pulls/19011/comments,Let's make GO Great again,False,0227b4d0492ad6abe11fbabad524aa05fb03c822,https://api.github.com/repos/golang/go/pulls/comments{/number},https://api.github.com/repos/golang/go/statuses/78da1bd4c80410a3c76ae2c9e307ca118cb7c462,https://github.com/golang/go/pull/19011,https://api.github.com/repos/golang/go/issues/19011/comments,2017-02-09T17:51:04Z,closed,https://github.com/golang/go/pull/19011.patch,fvanboven,None,https://api.github.com/repos/golang/go/pulls/19011,https://api.github.com/repos/golang/go/pulls/19011/commits,https://api.github.com/repos/golang/go/issues/19011,https://github.com/fvanboven,https://github.com/golang/go/pull/19011.diff,
2016-12-09T03:30:13Z,18260,https://api.github.com/repos/golang/go/pulls/18260/comments,@wangkechun change,False,4cedb65833a04f05b757a2c5999b2b26c87c6067,https://api.github.com/repos/golang/go/pulls/comments{/number},https://api.github.com/repos/golang/go/statuses/44fb431fcf32cc014655c06e34119319d031c931,https://github.com/golang/go/pull/18260,https://api.github.com/repos/golang/go/issues/18260/comments,2016-12-09T03:30:14Z,closed,https://github.com/golang/go/pull/18260.patch,wangkechun,None,https://api.github.com/repos/golang/go/pulls/18260,https://api.github.com/repos/golang/go/pulls/18260/commits,https://api.github.com/repos/golang/go/issues/18260,https://github.com/wangkechun,https://github.com/golang/go/pull/18260.diff,
2016-10-08T15:52:04Z,17387,https://api.github.com/repos/golang/go/pulls/17387/comments,Release branch.go1.7,False,None,https://api.github.com/repos/golang/go/pulls/comments{/number},https://api.github.com/repos/golang/go/statuses/b67902fee7b56dd3235b2f489550c279248bacb9,https://github.com/golang/go/pull/17387,https://api.github.com/repos/golang/go/issues/17387/comments,2016-10-08T15:54:43Z,closed,https://github.com/golang/go/pull/17387.patch,vikrampanwar,None,https://api.github.com/repos/golang/go/pulls/17387,https://api.github.com/repos/golang/go/pulls/17387/commits,https://api.github.com/repos/golang/go/issues/17387,https://github.com/vikrampanwar,https://github.com/golang/go/pull/17387.diff,
2016-07-17T10:23:15Z,16398,https://api.github.com/repos/golang/go/pulls/16398/comments,Release branch.go1.7,False,e1157fcd8afe6f5655983dfd02ea3e995a50697c,https://api.github.com/repos/golang/go/pulls/comments{/number},https://api.github.com/repos/golang/go/statuses/53da5fd4d431881bb3583c9790db7735a6530a1b,https://github.com/golang/go/pull/16398,https://api.github.com/repos/golang/go/issues/16398/comments,2016-07-17T10:23:16Z,closed,https://github.com/golang/go/pull/16398.patch,bao2dan,None,https://api.github.com/repos/golang/go/pulls/16398,https://api.github.com/repos/golang/go/pulls/16398/commits,https://api.github.com/repos/golang/go/issues/16398,https://github.com/bao2dan,https://github.com/golang/go/pull/16398.diff,
2016-06-19T11:44:04Z,16113,https://api.github.com/repos/golang/go/pulls/16113/comments,Master,False,de52d256505ae64459a403dbabed81a450ee9e98,https://api.github.com/repos/golang/go/pulls/comments{/number},https://api.github.com/repos/golang/go/statuses/691c5c156878799ec15683f10e24d9a924ea7996,https://github.com/golang/go/pull/16113,https://api.github.com/repos/golang/go/issues/16113/comments,2016-06-19T11:44:05Z,closed,https://github.com/golang/go/pull/16113.patch,tipoftips,None,https://api.github.com/repos/golang/go/pulls/16113,https://api.github.com/repos/golang/go/pulls/16113/commits,https://api.github.com/repos/golang/go/issues/16113,https://github.com/tipoftips,https://github.com/golang/go/pull/16113.diff,
2016-05-27T02:59:49Z,15857,https://api.github.com/repos/golang/go/pulls/15857/comments,Update URL for pprof,False,661d241aa7056df31d2d31b131cd07916378ca8f,https://api.github.com/repos/golang/go/pulls/comments{/number},https://api.github.com/repos/golang/go/statuses/3e49478beba0ac07faf1582728a9652f5871d09f,https://github.com/golang/go/pull/15857,https://api.github.com/repos/golang/go/issues/15857/comments,2016-05-27T02:59:51Z,closed,https://github.com/golang/go/pull/15857.patch,17twenty,None,https://api.github.com/repos/golang/go/pulls/15857,https://api.github.com/repos/golang/go/pulls/15857/commits,https://api.github.com/repos/golang/go/issues/15857,https://github.com/17twenty,https://github.com/golang/go/pull/15857.diff,
