,milestone_htmlURL,id,release_Date,title,repository_url,url,created_at,comments_url,html_url,user_login,state,release_Name,labels_url,user_htmlURL,events_url,locked,number,milestone_id,labels,closed_at,updated_at,
,https://github.com/atom/atom/milestone/7,14581034,2013-09-10T07:06:21Z,Install packages,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/558,2013-05-21T17:47:40Z,https://api.github.com/repos/atom/atom/issues/558/comments,https://github.com/atom/atom/pull/558,kevinsawicki,closed,Iron,https://api.github.com/repos/atom/atom/issues/558/labels{/name},https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom/issues/558/events,False,558,337546,,2013-05-22T22:57:37Z,2013-05-22T22:57:55Z,
,https://github.com/atom/atom/milestone/5,13566119,2013-09-10T07:06:21Z,cmd+t showing "No matches found" without me typing anything,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/514,2013-04-24T00:44:09Z,https://api.github.com/repos/atom/atom/issues/514/comments,https://github.com/atom/atom/issues/514,bleikamp,closed,Iron,https://api.github.com/repos/atom/atom/issues/514/labels{/name},https://github.com/bleikamp,https://api.github.com/repos/atom/atom/issues/514/events,False,514,327939,bug ,2013-05-06T23:37:12Z,2013-05-06T23:37:12Z,
,https://github.com/atom/atom/milestone/6,14405266,2013-09-10T07:06:21Z,Fuzzy finder regression,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/553,2013-05-16T13:20:48Z,https://api.github.com/repos/atom/atom/issues/553/comments,https://github.com/atom/atom/issues/553,jnewland,closed,Iron,https://api.github.com/repos/atom/atom/issues/553/labels{/name},https://github.com/jnewland,https://api.github.com/repos/atom/atom/issues/553/events,False,553,332810,bug ,2013-05-16T15:50:08Z,2013-12-02T20:47:55Z,
,https://github.com/atom/atom/milestone/2,10078895,2013-09-10T07:06:21Z,Opening repo from command line,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/139,2013-01-17T22:46:08Z,https://api.github.com/repos/atom/atom/issues/139/comments,https://github.com/atom/atom/issues/139,mattgraham,closed,Iron,https://api.github.com/repos/atom/atom/issues/139/labels{/name},https://github.com/mattgraham,https://api.github.com/repos/atom/atom/issues/139/events,False,139,249389,,2013-01-23T00:00:24Z,2013-01-23T00:00:24Z,
,https://github.com/atom/atom/milestone/5,12943383,2013-09-10T07:06:21Z,Can't replace matches with empty string via `s/foo//` command,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/488,2013-04-08T20:46:00Z,https://api.github.com/repos/atom/atom/issues/488/comments,https://github.com/atom/atom/issues/488,nathansobo,closed,Iron,https://api.github.com/repos/atom/atom/issues/488/labels{/name},https://github.com/nathansobo,https://api.github.com/repos/atom/atom/issues/488/events,False,488,327939,bug ,2013-05-06T19:14:33Z,2013-05-06T19:14:33Z,
,https://github.com/atom/atom/milestone/2,10321323,2013-09-10T07:06:21Z,Add jump to line,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/176,2013-01-25T18:33:11Z,https://api.github.com/repos/atom/atom/issues/176/comments,https://github.com/atom/atom/issues/176,kevinsawicki,closed,Iron,https://api.github.com/repos/atom/atom/issues/176/labels{/name},https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom/issues/176/events,False,176,249389,,2013-01-25T19:24:50Z,2013-01-25T19:25:28Z,
,https://github.com/atom/atom/milestone/7,14581300,2013-09-10T07:06:21Z,Remove blank options in renderMarkdown,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/559,2013-05-21T17:53:38Z,https://api.github.com/repos/atom/atom/issues/559/comments,https://github.com/atom/atom/pull/559,gjtorikian,closed,Iron,https://api.github.com/repos/atom/atom/issues/559/labels{/name},https://github.com/gjtorikian,https://api.github.com/repos/atom/atom/issues/559/events,False,559,337546,,2013-05-21T18:36:20Z,2013-05-22T22:28:58Z,
,https://github.com/atom/atom/milestone/2,10400877,2013-09-10T07:06:21Z,Document basic usage,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/185,2013-01-29T01:23:58Z,https://api.github.com/repos/atom/atom/issues/185/comments,https://github.com/atom/atom/issues/185,probablycorey,closed,Iron,https://api.github.com/repos/atom/atom/issues/185/labels{/name},https://github.com/probablycorey,https://api.github.com/repos/atom/atom/issues/185/events,False,185,249389,,2013-02-14T03:04:50Z,2013-02-14T03:04:50Z,
,https://github.com/atom/atom/milestone/7,14604965,2013-09-10T07:06:21Z,Bump nak for better gitignoring,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/561,2013-05-22T05:41:44Z,https://api.github.com/repos/atom/atom/issues/561/comments,https://github.com/atom/atom/pull/561,gjtorikian,closed,Iron,https://api.github.com/repos/atom/atom/issues/561/labels{/name},https://github.com/gjtorikian,https://api.github.com/repos/atom/atom/issues/561/events,False,561,337546,,2013-05-22T17:11:22Z,2013-05-22T22:28:41Z,
,https://github.com/atom/atom/milestone/2,10940719,2013-09-10T07:06:21Z,Switch wrap-guide to use editor.preferredLineLength config key,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/262,2013-02-13T04:44:39Z,https://api.github.com/repos/atom/atom/issues/262/comments,https://github.com/atom/atom/issues/262,nathansobo,closed,Iron,https://api.github.com/repos/atom/atom/issues/262/labels{/name},https://github.com/nathansobo,https://api.github.com/repos/atom/atom/issues/262/events,False,262,249389,,2013-02-14T20:08:03Z,2013-02-14T20:08:03Z,
,https://github.com/atom/atom/milestone/2,11418345,2013-09-10T07:06:21Z,Atom does not check for updates when run with --dev,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/312,2013-02-26T17:10:44Z,https://api.github.com/repos/atom/atom/issues/312/comments,https://github.com/atom/atom/issues/312,probablycorey,closed,Iron,https://api.github.com/repos/atom/atom/issues/312/labels{/name},https://github.com/probablycorey,https://api.github.com/repos/atom/atom/issues/312/events,False,312,249389,,2013-02-26T18:00:32Z,2013-02-26T18:00:32Z,
,https://github.com/atom/atom/milestone/2,10201044,2013-09-10T07:06:21Z,Verify file exists before jumping to symbol,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/153,2013-01-22T17:27:33Z,https://api.github.com/repos/atom/atom/issues/153/comments,https://github.com/atom/atom/issues/153,kevinsawicki,closed,Iron,https://api.github.com/repos/atom/atom/issues/153/labels{/name},https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom/issues/153/events,False,153,249389,,2013-01-22T21:51:43Z,2013-01-22T21:51:43Z,
,https://github.com/atom/atom/milestone/2,10244200,2013-09-10T07:06:21Z,No more gutter highlight for selected lines,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/161,2013-01-23T18:22:54Z,https://api.github.com/repos/atom/atom/issues/161/comments,https://github.com/atom/atom/issues/161,kevinsawicki,closed,Iron,https://api.github.com/repos/atom/atom/issues/161/labels{/name},https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom/issues/161/events,False,161,249389,,2013-01-24T05:35:45Z,2013-01-24T05:35:55Z,
,https://github.com/atom/atom/milestone/2,10400899,2013-09-10T07:06:21Z,Document themes,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/188,2013-01-29T01:25:15Z,https://api.github.com/repos/atom/atom/issues/188/comments,https://github.com/atom/atom/issues/188,probablycorey,closed,Iron,https://api.github.com/repos/atom/atom/issues/188/labels{/name},https://github.com/probablycorey,https://api.github.com/repos/atom/atom/issues/188/events,False,188,249389,,2013-02-14T02:19:51Z,2013-02-14T02:19:51Z,
,https://github.com/atom/atom/milestone/2,10429360,2013-09-10T07:06:21Z,Default to running in stable mode and add a --dev flag,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/198,2013-01-29T19:06:11Z,https://api.github.com/repos/atom/atom/issues/198/comments,https://github.com/atom/atom/issues/198,nathansobo,closed,Iron,https://api.github.com/repos/atom/atom/issues/198/labels{/name},https://github.com/nathansobo,https://api.github.com/repos/atom/atom/issues/198/events,False,198,249389,,2013-02-22T19:57:24Z,2013-02-22T20:01:09Z,
,https://github.com/atom/atom/milestone/7,14012245,2013-09-10T07:06:21Z,Create Atom Package Manager (APM),https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/538,2013-05-06T17:45:10Z,https://api.github.com/repos/atom/atom/issues/538/comments,https://github.com/atom/atom/issues/538,probablycorey,closed,Iron,https://api.github.com/repos/atom/atom/issues/538/labels{/name},https://github.com/probablycorey,https://api.github.com/repos/atom/atom/issues/538/events,False,538,337546,,2013-05-28T17:29:54Z,2013-05-28T17:29:54Z,
,https://github.com/atom/atom/milestone/2,10400860,2013-09-10T07:06:21Z,Read keymaps from ~/.atom/keymaps,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/184,2013-01-29T01:22:55Z,https://api.github.com/repos/atom/atom/issues/184/comments,https://github.com/atom/atom/issues/184,probablycorey,closed,Iron,https://api.github.com/repos/atom/atom/issues/184/labels{/name},https://github.com/probablycorey,https://api.github.com/repos/atom/atom/issues/184/events,False,184,249389,,2013-01-29T07:00:49Z,2013-01-29T07:00:49Z,
,https://github.com/atom/atom/milestone/6,14285375,2013-09-10T07:06:21Z,fuzzy file finder doesn't respect ignore gitignored files anymore,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/549,2013-05-13T22:32:24Z,https://api.github.com/repos/atom/atom/issues/549/comments,https://github.com/atom/atom/issues/549,wfarr,closed,Iron,https://api.github.com/repos/atom/atom/issues/549/labels{/name},https://github.com/wfarr,https://api.github.com/repos/atom/atom/issues/549/events,False,549,332810,bug ,2013-05-14T00:36:04Z,2013-05-14T17:09:43Z,
,https://github.com/atom/atom/milestone/2,10401065,2013-09-10T07:06:21Z,Command to dump Atom state,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/191,2013-01-29T01:31:23Z,https://api.github.com/repos/atom/atom/issues/191/comments,https://github.com/atom/atom/issues/191,probablycorey,closed,Iron,https://api.github.com/repos/atom/atom/issues/191/labels{/name},https://github.com/probablycorey,https://api.github.com/repos/atom/atom/issues/191/events,False,191,249389,,2013-02-22T21:28:06Z,2013-02-22T21:28:06Z,
,https://github.com/atom/atom/milestone/2,11309960,2013-09-10T07:06:21Z,Folded lines don't line up with gutter,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/304,2013-02-22T22:48:47Z,https://api.github.com/repos/atom/atom/issues/304/comments,https://github.com/atom/atom/issues/304,probablycorey,closed,Iron,https://api.github.com/repos/atom/atom/issues/304/labels{/name},https://github.com/probablycorey,https://api.github.com/repos/atom/atom/issues/304/events,False,304,249389,,2013-02-25T17:50:07Z,2013-02-25T17:50:07Z,
,https://github.com/atom/atom/milestone/2,11215521,2013-09-10T07:06:21Z,Insert line above,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/292,2013-02-20T21:10:56Z,https://api.github.com/repos/atom/atom/issues/292/comments,https://github.com/atom/atom/issues/292,bleikamp,closed,Iron,https://api.github.com/repos/atom/atom/issues/292/labels{/name},https://github.com/bleikamp,https://api.github.com/repos/atom/atom/issues/292/events,False,292,249389,,2013-02-20T21:44:35Z,2013-02-20T21:44:35Z,
,https://github.com/atom/atom/milestone/7,14639334,2013-09-10T07:06:21Z,Error on goto line,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/562,2013-05-22T18:57:54Z,https://api.github.com/repos/atom/atom/issues/562/comments,https://github.com/atom/atom/issues/562,kevinsawicki,closed,Iron,https://api.github.com/repos/atom/atom/issues/562/labels{/name},https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom/issues/562/events,False,562,337546,bug ,2013-05-22T22:26:01Z,2013-05-22T22:28:32Z,
,https://github.com/atom/atom/milestone/7,14593977,2013-09-10T07:06:21Z,Error on newline,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/560,2013-05-21T22:05:08Z,https://api.github.com/repos/atom/atom/issues/560/comments,https://github.com/atom/atom/issues/560,kevinsawicki,closed,Iron,https://api.github.com/repos/atom/atom/issues/560/labels{/name},https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom/issues/560/events,False,560,337546,bug ,2013-05-22T22:26:47Z,2013-05-22T22:28:52Z,
,https://github.com/atom/atom/milestone/6,14077046,2013-09-10T07:06:21Z,Auto indent cleanup,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/542,2013-05-07T23:40:50Z,https://api.github.com/repos/atom/atom/issues/542/comments,https://github.com/atom/atom/pull/542,probablycorey,closed,Iron,https://api.github.com/repos/atom/atom/issues/542/labels{/name},https://github.com/probablycorey,https://api.github.com/repos/atom/atom/issues/542/events,False,542,332810,,2013-05-13T21:31:57Z,2014-07-02T06:49:13Z,
,https://github.com/atom/atom/milestone/2,11205208,2013-09-10T07:06:21Z,Text selection is slow,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/290,2013-02-20T16:52:16Z,https://api.github.com/repos/atom/atom/issues/290/comments,https://github.com/atom/atom/issues/290,dgraham,closed,Iron,https://api.github.com/repos/atom/atom/issues/290/labels{/name},https://github.com/dgraham,https://api.github.com/repos/atom/atom/issues/290/events,False,290,249389,,2013-02-21T20:37:25Z,2013-02-22T18:17:01Z,
,https://github.com/atom/atom/milestone/2,10402633,2013-09-10T07:06:21Z,Markdown preview disappears when Atom loses focus,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/193,2013-01-29T02:42:39Z,https://api.github.com/repos/atom/atom/issues/193/comments,https://github.com/atom/atom/issues/193,mtodd,closed,Iron,https://api.github.com/repos/atom/atom/issues/193/labels{/name},https://github.com/mtodd,https://api.github.com/repos/atom/atom/issues/193/events,False,193,249389,,2013-01-29T02:57:26Z,2013-01-29T02:57:26Z,
,https://github.com/atom/atom/milestone/2,10400891,2013-09-10T07:06:21Z,Document configuration,https://api.github.com/repos/atom/atom,https://api.github.com/repos/atom/atom/issues/186,2013-01-29T01:24:45Z,https://api.github.com/repos/atom/atom/issues/186/comments,https://github.com/atom/atom/issues/186,probablycorey,closed,Iron,https://api.github.com/repos/atom/atom/issues/186/labels{/name},https://github.com/probablycorey,https://api.github.com/repos/atom/atom/issues/186/events,False,186,249389,,2013-02-14T02:18:39Z,2013-02-14T02:18:39Z,
