milestone_id,,title,labels,release_Date,user_login,url,html_url,user_htmlURL,locked,release_Name,updated_at,number,repository_url,created_at,events_url,closed_at,comments_url,labels_url,state,id,milestone_htmlURL,
249389,,Add jump to line,,2013-09-10T07:06:21Z,kevinsawicki,https://api.github.com/repos/atom/atom/issues/176,https://github.com/atom/atom/issues/176,https://github.com/kevinsawicki,False,Iron,2013-01-25T19:25:28Z,176,https://api.github.com/repos/atom/atom,2013-01-25T18:33:11Z,https://api.github.com/repos/atom/atom/issues/176/events,2013-01-25T19:24:50Z,https://api.github.com/repos/atom/atom/issues/176/comments,https://api.github.com/repos/atom/atom/issues/176/labels{/name},closed,10321323,https://github.com/atom/atom/milestone/2,
249389,,Opening repo from command line,,2013-09-10T07:06:21Z,mattgraham,https://api.github.com/repos/atom/atom/issues/139,https://github.com/atom/atom/issues/139,https://github.com/mattgraham,False,Iron,2013-01-23T00:00:24Z,139,https://api.github.com/repos/atom/atom,2013-01-17T22:46:08Z,https://api.github.com/repos/atom/atom/issues/139/events,2013-01-23T00:00:24Z,https://api.github.com/repos/atom/atom/issues/139/comments,https://api.github.com/repos/atom/atom/issues/139/labels{/name},closed,10078895,https://github.com/atom/atom/milestone/2,
249389,,Folded lines don't line up with gutter,,2013-09-10T07:06:21Z,probablycorey,https://api.github.com/repos/atom/atom/issues/304,https://github.com/atom/atom/issues/304,https://github.com/probablycorey,False,Iron,2013-02-25T17:50:07Z,304,https://api.github.com/repos/atom/atom,2013-02-22T22:48:47Z,https://api.github.com/repos/atom/atom/issues/304/events,2013-02-25T17:50:07Z,https://api.github.com/repos/atom/atom/issues/304/comments,https://api.github.com/repos/atom/atom/issues/304/labels{/name},closed,11309960,https://github.com/atom/atom/milestone/2,
249389,,Spell check,,2013-09-10T07:06:21Z,kevinsawicki,https://api.github.com/repos/atom/atom/issues/314,https://github.com/atom/atom/pull/314,https://github.com/kevinsawicki,False,Iron,2013-02-27T19:18:49Z,314,https://api.github.com/repos/atom/atom,2013-02-27T02:54:00Z,https://api.github.com/repos/atom/atom/issues/314/events,2013-02-27T18:50:15Z,https://api.github.com/repos/atom/atom/issues/314/comments,https://api.github.com/repos/atom/atom/issues/314/labels{/name},closed,11439798,https://github.com/atom/atom/milestone/2,
332810,,fuzzy file finder doesn't respect ignore gitignored files anymore,bug ,2013-09-10T07:06:21Z,wfarr,https://api.github.com/repos/atom/atom/issues/549,https://github.com/atom/atom/issues/549,https://github.com/wfarr,False,Iron,2013-05-14T17:09:43Z,549,https://api.github.com/repos/atom/atom,2013-05-13T22:32:24Z,https://api.github.com/repos/atom/atom/issues/549/events,2013-05-14T00:36:04Z,https://api.github.com/repos/atom/atom/issues/549/comments,https://api.github.com/repos/atom/atom/issues/549/labels{/name},closed,14285375,https://github.com/atom/atom/milestone/6,
249389,,Typing in fuzzy finder too fast,,2013-09-10T07:06:21Z,jonrohan,https://api.github.com/repos/atom/atom/issues/174,https://github.com/atom/atom/issues/174,https://github.com/jonrohan,False,Iron,2013-01-25T18:33:38Z,174,https://api.github.com/repos/atom/atom,2013-01-25T17:35:18Z,https://api.github.com/repos/atom/atom/issues/174/events,2013-01-25T18:30:28Z,https://api.github.com/repos/atom/atom/issues/174/comments,https://api.github.com/repos/atom/atom/issues/174/labels{/name},closed,10319433,https://github.com/atom/atom/milestone/2,
249389,,Markdown preview disappears when Atom loses focus,,2013-09-10T07:06:21Z,mtodd,https://api.github.com/repos/atom/atom/issues/193,https://github.com/atom/atom/issues/193,https://github.com/mtodd,False,Iron,2013-01-29T02:57:26Z,193,https://api.github.com/repos/atom/atom,2013-01-29T02:42:39Z,https://api.github.com/repos/atom/atom/issues/193/events,2013-01-29T02:57:26Z,https://api.github.com/repos/atom/atom/issues/193/comments,https://api.github.com/repos/atom/atom/issues/193/labels{/name},closed,10402633,https://github.com/atom/atom/milestone/2,
249389,,Move .atom creation out of Rakefile and into the app,,2013-09-10T07:06:21Z,probablycorey,https://api.github.com/repos/atom/atom/issues/299,https://github.com/atom/atom/issues/299,https://github.com/probablycorey,False,Iron,2013-02-22T22:46:34Z,299,https://api.github.com/repos/atom/atom,2013-02-22T00:30:51Z,https://api.github.com/repos/atom/atom/issues/299/events,2013-02-22T22:46:34Z,https://api.github.com/repos/atom/atom/issues/299/comments,https://api.github.com/repos/atom/atom/issues/299/labels{/name},closed,11268943,https://github.com/atom/atom/milestone/2,
332810,,Strange copy/paste behavior when dealing with whitespace,bug ,2013-09-10T07:06:21Z,mtodd,https://api.github.com/repos/atom/atom/issues/372,https://github.com/atom/atom/issues/372,https://github.com/mtodd,False,Iron,2015-11-22T07:40:59Z,372,https://api.github.com/repos/atom/atom,2013-03-07T07:30:50Z,https://api.github.com/repos/atom/atom/issues/372/events,2013-05-13T21:35:04Z,https://api.github.com/repos/atom/atom/issues/372/comments,https://api.github.com/repos/atom/atom/issues/372/labels{/name},closed,11748805,https://github.com/atom/atom/milestone/6,
249389,,0.1 release,,2013-09-10T07:06:21Z,kevinsawicki,https://api.github.com/repos/atom/atom/issues/118,https://github.com/atom/atom/issues/118,https://github.com/kevinsawicki,False,Iron,2013-03-04T18:36:19Z,118,https://api.github.com/repos/atom/atom,2013-01-02T20:46:34Z,https://api.github.com/repos/atom/atom/issues/118/events,2013-03-04T18:36:13Z,https://api.github.com/repos/atom/atom/issues/118/comments,https://api.github.com/repos/atom/atom/issues/118/labels{/name},closed,9626928,https://github.com/atom/atom/milestone/2,
249389,,Can't preview markdown of an Untitled Document,,2013-09-10T07:06:21Z,maddox,https://api.github.com/repos/atom/atom/issues/277,https://github.com/atom/atom/issues/277,https://github.com/maddox,False,Iron,2013-02-20T20:07:42Z,277,https://api.github.com/repos/atom/atom,2013-02-14T17:38:59Z,https://api.github.com/repos/atom/atom/issues/277/events,2013-02-20T19:58:35Z,https://api.github.com/repos/atom/atom/issues/277/comments,https://api.github.com/repos/atom/atom/issues/277/labels{/name},closed,11005975,https://github.com/atom/atom/milestone/2,
337546,,Error on goto line,bug ,2013-09-10T07:06:21Z,kevinsawicki,https://api.github.com/repos/atom/atom/issues/562,https://github.com/atom/atom/issues/562,https://github.com/kevinsawicki,False,Iron,2013-05-22T22:28:32Z,562,https://api.github.com/repos/atom/atom,2013-05-22T18:57:54Z,https://api.github.com/repos/atom/atom/issues/562/events,2013-05-22T22:26:01Z,https://api.github.com/repos/atom/atom/issues/562/comments,https://api.github.com/repos/atom/atom/issues/562/labels{/name},closed,14639334,https://github.com/atom/atom/milestone/7,
249389,,Mini-editor loses height when displayed after changing the font size,,2013-09-10T07:06:21Z,nathansobo,https://api.github.com/repos/atom/atom/issues/206,https://github.com/atom/atom/issues/206,https://github.com/nathansobo,False,Iron,2013-01-31T18:33:35Z,206,https://api.github.com/repos/atom/atom,2013-01-30T21:05:40Z,https://api.github.com/repos/atom/atom/issues/206/events,2013-01-31T18:33:35Z,https://api.github.com/repos/atom/atom/issues/206/comments,https://api.github.com/repos/atom/atom/issues/206/labels{/name},closed,10475966,https://github.com/atom/atom/milestone/2,
