url,assets_url,html_url,created_at,zipball_url,upload_url,name,tarball_url,tag_name,target_commitish,prerelease,id,draft,published_at,
https://api.github.com/repos/atom/atom/releases/80786,https://api.github.com/repos/atom/atom/releases/80786/assets,https://github.com/atom/atom/releases/tag/v0.35.0,2013-11-08T16:46:21Z,https://api.github.com/repos/atom/atom/zipball/v0.35.0,https://uploads.github.com/repos/atom/atom/releases/80786/assets{?namelabel},Bromine,https://api.github.com/repos/atom/atom/tarball/v0.35.0,v0.35.0,master,False,80786,False,2013-12-03T18:14:20Z,
https://api.github.com/repos/atom/atom/releases/79632,https://api.github.com/repos/atom/atom/releases/79632/assets,https://github.com/atom/atom/releases/tag/v0.34.0,2013-10-31T00:28:57Z,https://api.github.com/repos/atom/atom/zipball/v0.34.0,https://uploads.github.com/repos/atom/atom/releases/79632/assets{?namelabel},Selenium,https://api.github.com/repos/atom/atom/tarball/v0.34.0,v0.34.0,master,False,79632,False,2013-12-03T18:14:57Z,
https://api.github.com/repos/atom/atom/releases/74524,https://api.github.com/repos/atom/atom/releases/74524/assets,https://github.com/atom/atom/releases/tag/v0.33.0,2013-10-30T01:28:49Z,https://api.github.com/repos/atom/atom/zipball/v0.33.0,https://uploads.github.com/repos/atom/atom/releases/74524/assets{?namelabel},Arsenic,https://api.github.com/repos/atom/atom/tarball/v0.33.0,v0.33.0,master,False,74524,False,2013-12-03T18:15:56Z,
https://api.github.com/repos/atom/atom/releases/61240,https://api.github.com/repos/atom/atom/releases/61240/assets,https://github.com/atom/atom/releases/tag/v0.32.0,2013-10-24T16:21:57Z,https://api.github.com/repos/atom/atom/zipball/v0.32.0,https://uploads.github.com/repos/atom/atom/releases/61240/assets{?namelabel},Germanium,https://api.github.com/repos/atom/atom/tarball/v0.32.0,v0.32.0,master,False,61240,False,2013-12-03T18:16:08Z,
https://api.github.com/repos/atom/atom/releases/59443,https://api.github.com/repos/atom/atom/releases/59443/assets,https://github.com/atom/atom/releases/tag/v0.31.0,2013-10-04T21:10:47Z,https://api.github.com/repos/atom/atom/zipball/v0.31.0,https://uploads.github.com/repos/atom/atom/releases/59443/assets{?namelabel},Gallium,https://api.github.com/repos/atom/atom/tarball/v0.31.0,v0.31.0,master,False,59443,False,2013-12-03T18:16:21Z,
https://api.github.com/repos/atom/atom/releases/59405,https://api.github.com/repos/atom/atom/releases/59405/assets,https://github.com/atom/atom/releases/tag/v0.30.0,2013-10-04T20:14:54Z,https://api.github.com/repos/atom/atom/zipball/v0.30.0,https://uploads.github.com/repos/atom/atom/releases/59405/assets{?namelabel},Zinc,https://api.github.com/repos/atom/atom/tarball/v0.30.0,v0.30.0,master,False,59405,False,2013-12-03T18:16:37Z,
https://api.github.com/repos/atom/atom/releases/57654,https://api.github.com/repos/atom/atom/releases/57654/assets,https://github.com/atom/atom/releases/tag/v0.29.0,2013-10-04T16:25:31Z,https://api.github.com/repos/atom/atom/zipball/v0.29.0,https://uploads.github.com/repos/atom/atom/releases/57654/assets{?namelabel},Copper,https://api.github.com/repos/atom/atom/tarball/v0.29.0,v0.29.0,master,False,57654,False,2013-12-03T18:18:47Z,
https://api.github.com/repos/atom/atom/releases/57560,https://api.github.com/repos/atom/atom/releases/57560/assets,https://github.com/atom/atom/releases/tag/v0.28.0,2013-10-02T18:26:25Z,https://api.github.com/repos/atom/atom/zipball/v0.28.0,https://uploads.github.com/repos/atom/atom/releases/57560/assets{?namelabel},Nickel,https://api.github.com/repos/atom/atom/tarball/v0.28.0,v0.28.0,master,False,57560,False,2013-12-03T18:17:43Z,
https://api.github.com/repos/atom/atom/releases/53245,https://api.github.com/repos/atom/atom/releases/53245/assets,https://github.com/atom/atom/releases/tag/v0.27.0,2013-10-02T17:39:02Z,https://api.github.com/repos/atom/atom/zipball/v0.27.0,https://uploads.github.com/repos/atom/atom/releases/53245/assets{?namelabel},Cobalt,https://api.github.com/repos/atom/atom/tarball/v0.27.0,v0.27.0,master,False,53245,False,2013-12-03T18:17:58Z,
https://api.github.com/repos/atom/atom/releases/53243,https://api.github.com/repos/atom/atom/releases/53243/assets,https://github.com/atom/atom/releases/tag/v0.26.0,2013-09-10T07:06:21Z,https://api.github.com/repos/atom/atom/zipball/v0.26.0,https://uploads.github.com/repos/atom/atom/releases/53243/assets{?namelabel},Iron,https://api.github.com/repos/atom/atom/tarball/v0.26.0,v0.26.0,master,False,53243,False,2013-12-03T18:19:15Z,
