releaseName,releaseDate,contributors
0.181.0,2015-02-18T21:37:06Z,3
0.182.0,2015-02-20T06:19:08Z,4
0.183.0,2015-02-25T18:19:55Z,11
0.184.0,2015-02-25T22:20:08Z,2
0.185.0,2015-03-03T19:09:33Z,10
0.186.0,2015-03-03T21:18:02Z,1
0.187.0,2015-03-09T21:07:04Z,11
0.188.0,2015-03-24T20:40:02Z,20
0.189.0,2015-04-01T20:13:40Z,12
0.190.0,2015-04-07T20:32:13Z,8
0.191.0,2015-04-14T18:36:12Z,6
0.192.0,2015-04-15T17:32:22Z,6
0.193.0,2015-04-21T18:43:54Z,10
0.194.0,2015-04-22T01:56:56Z,3
0.195.0,2015-04-30T18:37:06Z,16
0.196.0,2015-04-30T20:36:42Z,0
0.197.0,2015-05-07T01:18:41Z,5
0.198.0,2015-05-07T17:31:21Z,0
0.199.0,2015-05-14T19:31:38Z,18
0.200.0,2015-05-19T22:25:58Z,8
0.201.0,2015-05-21T20:37:38Z,7
0.202.0,2015-05-27T19:56:32Z,6
0.203.0,2015-05-28T15:11:05Z,4
0.204.0,2015-05-28T16:06:56Z,0
0.205.0,2015-06-02T15:51:33Z,9
0.206.0,2015-06-04T21:07:53Z,7
0.207.0,2015-06-05T19:05:05Z,4
0.208.0,2015-06-09T18:51:39Z,12
0.209.0,2015-06-11T16:57:30Z,6
0.210.0,2015-06-17T21:11:35Z,9
0.211.0,2015-06-22T20:09:11Z,9
1.0.0,2015-06-25T10:05:58Z,3
1.0.1,2015-07-08T17:43:55Z,22
1.0.2,2015-07-08T21:04:23Z,2
1.0.3,2015-07-28T17:57:44Z,31
1.0.4,2015-08-04T20:54:23Z,16
1.0.5,2015-08-06T20:40:04Z,7
1.0.6,2015-08-11T22:59:31Z,5
1.0.7,2015-08-12T21:33:28Z,1
1.0.8,2015-08-27T17:28:31Z,24
1.0.9,2015-08-28T20:55:24Z,5
1.0.10,2015-09-01T21:15:39Z,13
1.0.11,2015-09-02T18:20:59Z,3
1.0.12,2015-09-17T17:43:31Z,20
1.0.13,2015-09-17T23:21:52Z,2
1.0.14,2015-09-18T17:20:39Z,2
1.0.15,2015-09-18T21:18:30Z,1
1.0.16,2015-09-23T16:07:01Z,9
1.0.17,2015-09-24T18:37:40Z,6
1.0.18,2015-09-24T21:09:25Z,2
1.0.19,2015-09-25T18:19:53Z,1
1.1.0-beta1,2015-10-07T22:29:51Z,18
1.1.0,2015-10-29T18:00:41Z,28
1.2.0-beta0,2015-10-29T18:00:42Z,0
1.2.0-beta1,2015-11-02T17:48:30Z,7
1.2.0-beta2,2015-11-09T21:32:40Z,15
1.2.0-beta3,2015-11-11T19:05:34Z,5
1.2.0,2015-11-12T16:59:31Z,1
1.3.0-beta0,2015-11-12T16:59:32Z,0
1.2.1,2015-11-13T23:14:25Z,2
1.3.0-beta2,2015-11-17T16:53:13Z,6
1.3.0-beta3,2015-11-17T19:46:47Z,1
1.2.2,2015-11-18T18:58:58Z,2
1.3.0-beta4,2015-11-18T19:07:48Z,0
1.2.3,2015-11-19T15:13:37Z,3
1.3.0-beta5,2015-11-19T19:10:55Z,0
1.2.4,2015-11-20T23:54:59Z,3
1.3.0-beta6,2015-11-23T18:50:56Z,4
1.3.0-beta7,2015-12-08T23:10:06Z,13
1.3.0,2015-12-09T22:18:25Z,1
1.4.0-beta0,2015-12-09T22:18:26Z,0
1.3.1,2015-12-10T18:49:11Z,3
1.4.0-beta1,2015-12-15T22:02:12Z,10
1.3.2,2015-12-16T18:19:01Z,2
1.4.0-beta2,2015-12-16T18:21:29Z,0
1.4.0-beta3,2015-12-18T22:09:25Z,2
1.3.3,2016-01-08T19:41:10Z,17
1.4.0,2016-01-13T21:29:22Z,11
1.5.0-beta0,2016-01-13T21:29:23Z,0
1.4.1,2016-01-25T17:41:07Z,14
1.5.0-beta1,2016-01-25T18:29:46Z,0
1.4.2,2016-01-28T07:04:30Z,3
1.5.0-beta2,2016-02-01T19:01:52Z,3
1.4.3,2016-02-02T19:50:47Z,3
1.5.0-beta3,2016-02-02T19:59:42Z,0
1.5.0,2016-02-09T18:40:36Z,9
1.6.0-beta0,2016-02-09T18:40:37Z,0
1.5.1,2016-02-10T20:17:43Z,3
1.6.0-beta1,2016-02-10T20:19:48Z,0
1.6.0-beta2,2016-02-11T18:48:11Z,1
1.5.2,2016-02-11T19:02:12Z,0
1.5.3,2016-02-12T20:35:18Z,5
1.6.0-beta3,2016-02-12T20:36:54Z,0
1.6.0-beta4,2016-02-17T21:37:40Z,12
1.6.0-beta5,2016-02-22T19:42:17Z,10
1.6.0-beta6,2016-02-26T19:34:51Z,9
1.5.4,2016-03-01T19:38:50Z,7
1.6.0-beta7,2016-03-02T15:03:50Z,3
1.6.0-beta8,2016-03-08T18:38:11Z,18
1.6.0,2016-03-17T17:11:30Z,7
1.7.0-beta0,2016-03-17T20:06:53Z,1
1.6.1,2016-03-29T16:08:13Z,13
1.7.0-beta1,2016-03-29T19:59:42Z,0
1.7.0-beta2,2016-03-30T09:02:04Z,2
1.7.0-beta3,2016-03-30T17:46:02Z,3
1.7.0-beta4,2016-03-30T22:51:15Z,1
1.6.2,2016-04-01T21:55:52Z,5
1.7.0-beta5,2016-04-07T21:52:44Z,9
1.7.0,2016-04-13T18:38:46Z,11
1.8.0-beta0,2016-04-13T18:39:07Z,0
1.7.1,2016-04-14T22:45:35Z,4
1.8.0-beta1,2016-04-14T22:55:09Z,0
