number,user_htmlURL,repository_url,user_login,labels_url,title,milestone_id,updated_at,events_url,created_at,html_url,locked,comments_url,closed_at,url,id,milestone_htmlURL,labels,state,
541,https://github.com/dgraham,https://api.github.com/repos/atom/atom,dgraham,https://api.github.com/repos/atom/atom/issues/541/labels{/name},Highlight config.ru as a Ruby file,332810,2013-05-13T23:51:40Z,https://api.github.com/repos/atom/atom/issues/541/events,2013-05-07T15:09:51Z,https://github.com/atom/atom/issues/541,False,https://api.github.com/repos/atom/atom/issues/541/comments,2013-05-13T23:51:40Z,https://api.github.com/repos/atom/atom/issues/541,14053753,https://github.com/atom/atom/milestone/6,bug ,closed,
540,https://github.com/nathansobo,https://api.github.com/repos/atom/atom,nathansobo,https://api.github.com/repos/atom/atom/issues/540/labels{/name},Replace the LineMap with RowMap,327939,2013-05-14T19:50:59Z,https://api.github.com/repos/atom/atom/issues/540/events,2013-05-07T02:33:51Z,https://github.com/atom/atom/pull/540,False,https://api.github.com/repos/atom/atom/issues/540/comments,2013-05-10T19:25:36Z,https://api.github.com/repos/atom/atom/issues/540,14030815,https://github.com/atom/atom/milestone/5,,closed,
538,https://github.com/probablycorey,https://api.github.com/repos/atom/atom,probablycorey,https://api.github.com/repos/atom/atom/issues/538/labels{/name},Create Atom Package Manager (APM),337546,2013-05-28T17:29:54Z,https://api.github.com/repos/atom/atom/issues/538/events,2013-05-06T17:45:10Z,https://github.com/atom/atom/issues/538,False,https://api.github.com/repos/atom/atom/issues/538/comments,2013-05-28T17:29:54Z,https://api.github.com/repos/atom/atom/issues/538,14012245,https://github.com/atom/atom/milestone/7,,closed,
514,https://github.com/bleikamp,https://api.github.com/repos/atom/atom,bleikamp,https://api.github.com/repos/atom/atom/issues/514/labels{/name},cmd+t showing "No matches found" without me typing anything,327939,2013-05-06T23:37:12Z,https://api.github.com/repos/atom/atom/issues/514/events,2013-04-24T00:44:09Z,https://github.com/atom/atom/issues/514,False,https://api.github.com/repos/atom/atom/issues/514/comments,2013-05-06T23:37:12Z,https://api.github.com/repos/atom/atom/issues/514,13566119,https://github.com/atom/atom/milestone/5,bug ,closed,
509,https://github.com/bleikamp,https://api.github.com/repos/atom/atom,bleikamp,https://api.github.com/repos/atom/atom/issues/509/labels{/name},"Indexing…" forever on github/github,327939,2013-05-06T23:34:46Z,https://api.github.com/repos/atom/atom/issues/509/events,2013-04-22T16:47:06Z,https://github.com/atom/atom/issues/509,False,https://api.github.com/repos/atom/atom/issues/509/comments,2013-05-06T23:34:46Z,https://api.github.com/repos/atom/atom/issues/509,13492146,https://github.com/atom/atom/milestone/5,bug ,closed,
488,https://github.com/nathansobo,https://api.github.com/repos/atom/atom,nathansobo,https://api.github.com/repos/atom/atom/issues/488/labels{/name},Can't replace matches with empty string via `s/foo//` command,327939,2013-05-06T19:14:33Z,https://api.github.com/repos/atom/atom/issues/488/events,2013-04-08T20:46:00Z,https://github.com/atom/atom/issues/488,False,https://api.github.com/repos/atom/atom/issues/488/comments,2013-05-06T19:14:33Z,https://api.github.com/repos/atom/atom/issues/488,12943383,https://github.com/atom/atom/milestone/5,bug ,closed,
476,https://github.com/probablycorey,https://api.github.com/repos/atom/atom,probablycorey,https://api.github.com/repos/atom/atom/issues/476/labels{/name},Get @zcbenz access to the CI output,280508,2013-04-04T18:34:12Z,https://api.github.com/repos/atom/atom/issues/476/events,2013-04-04T00:37:00Z,https://github.com/atom/atom/issues/476,False,https://api.github.com/repos/atom/atom/issues/476/comments,2013-04-04T18:34:12Z,https://api.github.com/repos/atom/atom/issues/476,12781097,https://github.com/atom/atom/milestone/3,,closed,
471,https://github.com/probablycorey,https://api.github.com/repos/atom/atom,probablycorey,https://api.github.com/repos/atom/atom/issues/471/labels{/name},Helium task list,280508,2013-04-12T18:16:45Z,https://api.github.com/repos/atom/atom/issues/471/events,2013-04-03T00:11:42Z,https://github.com/atom/atom/issues/471,False,https://api.github.com/repos/atom/atom/issues/471/comments,2013-04-12T18:16:45Z,https://api.github.com/repos/atom/atom/issues/471,12731968,https://github.com/atom/atom/milestone/3,enhancement ,closed,
372,https://github.com/mtodd,https://api.github.com/repos/atom/atom,mtodd,https://api.github.com/repos/atom/atom/issues/372/labels{/name},Strange copy/paste behavior when dealing with whitespace,332810,2015-11-22T07:40:59Z,https://api.github.com/repos/atom/atom/issues/372/events,2013-03-07T07:30:50Z,https://github.com/atom/atom/issues/372,False,https://api.github.com/repos/atom/atom/issues/372/comments,2013-05-13T21:35:04Z,https://api.github.com/repos/atom/atom/issues/372,11748805,https://github.com/atom/atom/milestone/6,bug ,closed,
314,https://github.com/kevinsawicki,https://api.github.com/repos/atom/atom,kevinsawicki,https://api.github.com/repos/atom/atom/issues/314/labels{/name},Spell check,249389,2013-02-27T19:18:49Z,https://api.github.com/repos/atom/atom/issues/314/events,2013-02-27T02:54:00Z,https://github.com/atom/atom/pull/314,False,https://api.github.com/repos/atom/atom/issues/314/comments,2013-02-27T18:50:15Z,https://api.github.com/repos/atom/atom/issues/314,11439798,https://github.com/atom/atom/milestone/2,,closed,
