id,name,prerelease,url,assets_url,upload_url,html_url,tarball_url,created_at,tag_name,published_at,zipball_url,target_commitish,draft,
6243694,2.4.3,True,https://api.github.com/repos/facebook/osquery/releases/6243694,https://api.github.com/repos/facebook/osquery/releases/6243694/assets,https://uploads.github.com/repos/facebook/osquery/releases/6243694/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.4.3,https://api.github.com/repos/facebook/osquery/tarball/2.4.3,2017-04-30T22:08:07Z,2.4.3,2017-05-01T19:45:56Z,https://api.github.com/repos/facebook/osquery/zipball/2.4.3,master,False,
6172897,2.4.2,False,https://api.github.com/repos/facebook/osquery/releases/6172897,https://api.github.com/repos/facebook/osquery/releases/6172897/assets,https://uploads.github.com/repos/facebook/osquery/releases/6172897/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.4.2,https://api.github.com/repos/facebook/osquery/tarball/2.4.2,2017-04-24T19:16:10Z,2.4.2,2017-04-24T19:19:54Z,https://api.github.com/repos/facebook/osquery/zipball/2.4.2,master,False,
6154786,2.4.1,True,https://api.github.com/repos/facebook/osquery/releases/6154786,https://api.github.com/repos/facebook/osquery/releases/6154786/assets,https://uploads.github.com/repos/facebook/osquery/releases/6154786/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.4.1,https://api.github.com/repos/facebook/osquery/tarball/2.4.1,2017-04-21T23:01:50Z,2.4.1,2017-04-21T23:11:53Z,https://api.github.com/repos/facebook/osquery/zipball/2.4.1,master,False,
6006192,2.4.0,False,https://api.github.com/repos/facebook/osquery/releases/6006192,https://api.github.com/repos/facebook/osquery/releases/6006192/assets,https://uploads.github.com/repos/facebook/osquery/releases/6006192/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.4.0,https://api.github.com/repos/facebook/osquery/tarball/2.4.0,2017-04-06T22:57:44Z,2.4.0,2017-04-06T23:02:28Z,https://api.github.com/repos/facebook/osquery/zipball/2.4.0,master,False,
5593998,2.3.4,False,https://api.github.com/repos/facebook/osquery/releases/5593998,https://api.github.com/repos/facebook/osquery/releases/5593998/assets,https://uploads.github.com/repos/facebook/osquery/releases/5593998/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.3.4,https://api.github.com/repos/facebook/osquery/tarball/2.3.4,2017-02-28T13:22:29Z,2.3.4,2017-02-28T13:24:11Z,https://api.github.com/repos/facebook/osquery/zipball/2.3.4,master,False,
5481290,2.3.3,True,https://api.github.com/repos/facebook/osquery/releases/5481290,https://api.github.com/repos/facebook/osquery/releases/5481290/assets,https://uploads.github.com/repos/facebook/osquery/releases/5481290/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.3.3,https://api.github.com/repos/facebook/osquery/tarball/2.3.3,2017-02-15T22:17:40Z,2.3.3,2017-02-16T17:56:20Z,https://api.github.com/repos/facebook/osquery/zipball/2.3.3,master,False,
5424553,2.3.2,False,https://api.github.com/repos/facebook/osquery/releases/5424553,https://api.github.com/repos/facebook/osquery/releases/5424553/assets,https://uploads.github.com/repos/facebook/osquery/releases/5424553/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.3.2,https://api.github.com/repos/facebook/osquery/tarball/2.3.2,2017-02-10T19:49:23Z,2.3.2,2017-02-10T19:55:41Z,https://api.github.com/repos/facebook/osquery/zipball/2.3.2,master,False,
5403895,2.3.1,True,https://api.github.com/repos/facebook/osquery/releases/5403895,https://api.github.com/repos/facebook/osquery/releases/5403895/assets,https://uploads.github.com/repos/facebook/osquery/releases/5403895/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.3.1,https://api.github.com/repos/facebook/osquery/tarball/2.3.1,2017-02-08T03:10:37Z,2.3.1,2017-02-09T04:14:14Z,https://api.github.com/repos/facebook/osquery/zipball/2.3.1,master,False,
5372519,2.3.0,True,https://api.github.com/repos/facebook/osquery/releases/5372519,https://api.github.com/repos/facebook/osquery/releases/5372519/assets,https://uploads.github.com/repos/facebook/osquery/releases/5372519/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.3.0,https://api.github.com/repos/facebook/osquery/tarball/2.3.0,2017-02-06T09:17:38Z,2.3.0,2017-02-06T16:36:09Z,https://api.github.com/repos/facebook/osquery/zipball/2.3.0,master,False,
5223179,2.2.3,True,https://api.github.com/repos/facebook/osquery/releases/5223179,https://api.github.com/repos/facebook/osquery/releases/5223179/assets,https://uploads.github.com/repos/facebook/osquery/releases/5223179/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.2.3,https://api.github.com/repos/facebook/osquery/tarball/2.2.3,2017-01-20T22:03:21Z,2.2.3,2017-01-20T22:04:05Z,https://api.github.com/repos/facebook/osquery/zipball/2.2.3,master,False,
5196629,2.2.2,True,https://api.github.com/repos/facebook/osquery/releases/5196629,https://api.github.com/repos/facebook/osquery/releases/5196629/assets,https://uploads.github.com/repos/facebook/osquery/releases/5196629/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.2.2,https://api.github.com/repos/facebook/osquery/tarball/2.2.2,2017-01-18T01:18:03Z,2.2.2,2017-01-18T17:28:11Z,https://api.github.com/repos/facebook/osquery/zipball/2.2.2,master,False,
4946877,2.2.1,False,https://api.github.com/repos/facebook/osquery/releases/4946877,https://api.github.com/repos/facebook/osquery/releases/4946877/assets,https://uploads.github.com/repos/facebook/osquery/releases/4946877/assets{?namelabel},https://github.com/facebook/osquery/releases/tag/2.2.1,https://api.github.com/repos/facebook/osquery/tarball/2.2.1,2016-12-17T02:20:24Z,2.2.1,2016-12-17T04:03:16Z,https://api.github.com/repos/facebook/osquery/zipball/2.2.1,master,False,
