merge_commit_sha,state,diff_url,locked,issue_url,statuses_url,title,review_comments_url,user_login,url,milestone_htmlURL,closed_at,html_url,created_at,merged_at,commits_url,number,user_htmlURL,patch_url,review_comment_url,comments_url,milestone_id,
a970b0ca427a38b61f521ba9158fde5dc4a35dc6,closed,https://github.com/facebook/osquery/pull/2597.diff,False,https://api.github.com/repos/facebook/osquery/issues/2597,https://api.github.com/repos/facebook/osquery/statuses/ac54f31a56dd0da7bdb06e68ca6eace5d573ab4d,Use 'namespace' instead of '#define' for boost::filesystem,https://api.github.com/repos/facebook/osquery/pulls/2597/comments,slester,https://api.github.com/repos/facebook/osquery/pulls/2597,None,2016-10-07T21:59:42Z,https://github.com/facebook/osquery/pull/2597,2016-10-07T03:31:49Z,2016-10-07T21:59:42Z,https://api.github.com/repos/facebook/osquery/pulls/2597/commits,2597,https://github.com/slester,https://github.com/facebook/osquery/pull/2597.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2597/comments,None,
d1240f05e59e14e4b1e2cfb5b6fdc4bd98a44543,closed,https://github.com/facebook/osquery/pull/2596.diff,False,https://api.github.com/repos/facebook/osquery/issues/2596,https://api.github.com/repos/facebook/osquery/statuses/c050172d79029abfddbddd0add2dd6143d406961,Fix for AWS ami role auth with cpp-netlib custom redirect condition,https://api.github.com/repos/facebook/osquery/pulls/2596/comments,hackgnar,https://api.github.com/repos/facebook/osquery/pulls/2596,None,2016-10-09T19:11:56Z,https://github.com/facebook/osquery/pull/2596,2016-10-06T20:40:12Z,2016-10-09T19:11:56Z,https://api.github.com/repos/facebook/osquery/pulls/2596/commits,2596,https://github.com/hackgnar,https://github.com/facebook/osquery/pull/2596.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2596/comments,None,
0a02532b99e8c5d73ad459805526f383fe40c946,closed,https://github.com/facebook/osquery/pull/2595.diff,False,https://api.github.com/repos/facebook/osquery/issues/2595,https://api.github.com/repos/facebook/osquery/statuses/3750fa35fe34fd65a4bba74b8fdd88b8d0db5ece,[Fixes #2594] windows: Implement the etc_services table,https://api.github.com/repos/facebook/osquery/pulls/2595/comments,slester,https://api.github.com/repos/facebook/osquery/pulls/2595,None,2016-10-06T21:06:44Z,https://github.com/facebook/osquery/pull/2595,2016-10-06T05:13:18Z,2016-10-06T21:06:44Z,https://api.github.com/repos/facebook/osquery/pulls/2595/commits,2595,https://github.com/slester,https://github.com/facebook/osquery/pull/2595.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2595/comments,None,
0b1713423ca50a2c725cd3e7034a3136b78eaae9,closed,https://github.com/facebook/osquery/pull/2593.diff,False,https://api.github.com/repos/facebook/osquery/issues/2593,https://api.github.com/repos/facebook/osquery/statuses/606ae359e94a257c35249bab86a60355a79bbd5f,[Fix #1690] Use INDEX options in constraint cost evaluation,https://api.github.com/repos/facebook/osquery/pulls/2593/comments,theopolis,https://api.github.com/repos/facebook/osquery/pulls/2593,None,2016-10-05T22:44:21Z,https://github.com/facebook/osquery/pull/2593,2016-10-05T20:50:47Z,2016-10-05T22:44:21Z,https://api.github.com/repos/facebook/osquery/pulls/2593/commits,2593,https://github.com/theopolis,https://github.com/facebook/osquery/pull/2593.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2593/comments,None,
c83afe01d6befe21766e475fe40d1e33048ebe4a,closed,https://github.com/facebook/osquery/pull/2590.diff,False,https://api.github.com/repos/facebook/osquery/issues/2590,https://api.github.com/repos/facebook/osquery/statuses/b18ccbf46e8752028bac179e9aba2340be31fc8e,Add virtual table: Windows etc_protocols,https://api.github.com/repos/facebook/osquery/pulls/2590/comments,ExtremeGTX,https://api.github.com/repos/facebook/osquery/pulls/2590,None,2016-10-05T02:08:27Z,https://github.com/facebook/osquery/pull/2590,2016-10-04T19:56:14Z,2016-10-05T02:08:27Z,https://api.github.com/repos/facebook/osquery/pulls/2590/commits,2590,https://github.com/ExtremeGTX,https://github.com/facebook/osquery/pull/2590.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2590/comments,None,
a7f1be1a36e562e3a262d9a4b08bdb9a42afe207,closed,https://github.com/facebook/osquery/pull/2589.diff,False,https://api.github.com/repos/facebook/osquery/issues/2589,https://api.github.com/repos/facebook/osquery/statuses/24188469f502c9f0cbf947a50724acc2b84f2bf1,Add test for processes table to verify mem/cpu units,https://api.github.com/repos/facebook/osquery/pulls/2589/comments,theopolis,https://api.github.com/repos/facebook/osquery/pulls/2589,None,2016-10-05T19:08:45Z,https://github.com/facebook/osquery/pull/2589,2016-10-03T01:15:16Z,2016-10-05T19:08:45Z,https://api.github.com/repos/facebook/osquery/pulls/2589/commits,2589,https://github.com/theopolis,https://github.com/facebook/osquery/pull/2589.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2589/comments,None,
37bacc3a7fd9c57c2702e77a9c86bdc8c6895d0c,closed,https://github.com/facebook/osquery/pull/2588.diff,False,https://api.github.com/repos/facebook/osquery/issues/2588,https://api.github.com/repos/facebook/osquery/statuses/4127a9da2c2dfcae7e800321f97acab177dd0ec4,[Fix #2549] Windows: use all CPUs with minimal verbosity,https://api.github.com/repos/facebook/osquery/pulls/2588/comments,theopolis,https://api.github.com/repos/facebook/osquery/pulls/2588,None,2016-10-03T02:31:12Z,https://github.com/facebook/osquery/pull/2588,2016-10-03T01:10:46Z,2016-10-03T02:31:12Z,https://api.github.com/repos/facebook/osquery/pulls/2588/commits,2588,https://github.com/theopolis,https://github.com/facebook/osquery/pull/2588.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2588/comments,None,
2845898b18d249dbbec5d7ab436ae2952b33b109,closed,https://github.com/facebook/osquery/pull/2587.diff,False,https://api.github.com/repos/facebook/osquery/issues/2587,https://api.github.com/repos/facebook/osquery/statuses/cca0216be378ebc95986cd97c148bb39b0908dff,Efficiency improvements to processes table on Windows,https://api.github.com/repos/facebook/osquery/pulls/2587/comments,yying,https://api.github.com/repos/facebook/osquery/pulls/2587,None,2016-10-03T19:23:46Z,https://github.com/facebook/osquery/pull/2587,2016-10-03T01:02:08Z,2016-10-03T19:23:46Z,https://api.github.com/repos/facebook/osquery/pulls/2587/commits,2587,https://github.com/yying,https://github.com/facebook/osquery/pull/2587.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2587/comments,None,
c446746a3a2efd0c1e76a477e2d262a43046e2d7,closed,https://github.com/facebook/osquery/pull/2586.diff,False,https://api.github.com/repos/facebook/osquery/issues/2586,https://api.github.com/repos/facebook/osquery/statuses/57429a400f92c547a6bbe55efe050d1536965cba,Add virtual table os_version for windows,https://api.github.com/repos/facebook/osquery/pulls/2586/comments,ExtremeGTX,https://api.github.com/repos/facebook/osquery/pulls/2586,None,2016-10-03T19:06:06Z,https://github.com/facebook/osquery/pull/2586,2016-10-02T22:36:46Z,2016-10-03T19:06:05Z,https://api.github.com/repos/facebook/osquery/pulls/2586/commits,2586,https://github.com/ExtremeGTX,https://github.com/facebook/osquery/pull/2586.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2586/comments,None,
6e7c1cdf3288986a28977f1a7e15c492156cdfb6,closed,https://github.com/facebook/osquery/pull/2585.diff,False,https://api.github.com/repos/facebook/osquery/issues/2585,https://api.github.com/repos/facebook/osquery/statuses/145c508cc7a9f1839320974f0a7fd4675d474b2c,Fix doxygen string in core.h causing `make docs` to fail,https://api.github.com/repos/facebook/osquery/pulls/2585/comments,zwass,https://api.github.com/repos/facebook/osquery/pulls/2585,None,2016-10-02T23:52:44Z,https://github.com/facebook/osquery/pull/2585,2016-10-02T16:49:12Z,2016-10-02T23:52:44Z,https://api.github.com/repos/facebook/osquery/pulls/2585/commits,2585,https://github.com/zwass,https://github.com/facebook/osquery/pull/2585.patch,https://api.github.com/repos/facebook/osquery/pulls/comments{/number},https://api.github.com/repos/facebook/osquery/issues/2585/comments,None,
