id,user_login,url,milestone_htmlURL,repository_url,state,labels_url,html_url,locked,closed_at,updated_at,number,created_at,user_htmlURL,labels,title,events_url,comments_url,milestone_id,
177989730,theopolis,https://api.github.com/repos/facebook/osquery/issues/2482,https://github.com/facebook/osquery/milestone/28,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2482/labels{/name},https://github.com/facebook/osquery/issues/2482,False,2016-09-21T17:52:53Z,2016-09-21T17:52:53Z,2482,2016-09-20T07:51:09Z,https://github.com/theopolis,bug dynamic analysis Linux ,Linux Dispatcher Tests fail SANITIZE build,https://api.github.com/repos/facebook/osquery/issues/2482/events,https://api.github.com/repos/facebook/osquery/issues/2482/comments,2002109,
177989286,theopolis,https://api.github.com/repos/facebook/osquery/issues/2481,https://github.com/facebook/osquery/milestone/28,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2481/labels{/name},https://github.com/facebook/osquery/issues/2481,False,2016-09-22T01:10:09Z,2016-09-22T01:10:09Z,2481,2016-09-20T07:48:59Z,https://github.com/theopolis,bug dependencies Linux ,deps: Linux openssl fails release_test,https://api.github.com/repos/facebook/osquery/issues/2481/events,https://api.github.com/repos/facebook/osquery/issues/2481/comments,2002109,
177313183,theopolis,https://api.github.com/repos/facebook/osquery/issues/2472,https://github.com/facebook/osquery/milestone/28,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2472/labels{/name},https://github.com/facebook/osquery/issues/2472,False,2016-09-20T08:21:08Z,2016-09-20T08:21:08Z,2472,2016-09-15T23:17:13Z,https://github.com/theopolis,bug dependencies Linux ,deps: Reorganize "legacy" runtime and include zlib 1.2.3,https://api.github.com/repos/facebook/osquery/issues/2472/events,https://api.github.com/repos/facebook/osquery/issues/2472/comments,2002109,
177027992,jfdive,https://api.github.com/repos/facebook/osquery/issues/2467,https://github.com/facebook/osquery/milestone/28,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2467/labels{/name},https://github.com/facebook/osquery/issues/2467,False,2016-09-24T02:51:19Z,2016-09-24T02:51:28Z,2467,2016-09-14T21:36:33Z,https://github.com/jfdive,bug events Linux ,event table in osqueryd: inconsistent event query results,https://api.github.com/repos/facebook/osquery/issues/2467/events,https://api.github.com/repos/facebook/osquery/issues/2467/comments,2002109,
176713805,theopolis,https://api.github.com/repos/facebook/osquery/issues/2461,https://github.com/facebook/osquery/milestone/28,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2461/labels{/name},https://github.com/facebook/osquery/issues/2461,False,2016-09-24T02:51:46Z,2016-09-24T02:51:46Z,2461,2016-09-13T18:24:50Z,https://github.com/theopolis,dependencies wishlist ,deps: Review dependency updates for 1.8.3+,https://api.github.com/repos/facebook/osquery/issues/2461/events,https://api.github.com/repos/facebook/osquery/issues/2461/comments,2002109,
173851999,theopolis,https://api.github.com/repos/facebook/osquery/issues/2427,https://github.com/facebook/osquery/milestone/27,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2427/labels{/name},https://github.com/facebook/osquery/issues/2427,False,2016-09-08T15:33:11Z,2016-09-08T15:33:11Z,2427,2016-08-29T19:27:06Z,https://github.com/theopolis,dependencies Windows ,Windows: consolidate choco packages into osquery S3 bucket,https://api.github.com/repos/facebook/osquery/issues/2427/events,https://api.github.com/repos/facebook/osquery/issues/2427/comments,1970513,
173848681,theopolis,https://api.github.com/repos/facebook/osquery/issues/2426,https://github.com/facebook/osquery/milestone/22,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2426/labels{/name},https://github.com/facebook/osquery/issues/2426,False,2016-09-20T21:18:58Z,2016-09-20T21:18:58Z,2426,2016-08-29T19:10:40Z,https://github.com/theopolis,configuration logging remote Windows ,Windows: enable remote and TLS plugins in CMake,https://api.github.com/repos/facebook/osquery/issues/2426/events,https://api.github.com/repos/facebook/osquery/issues/2426/comments,1672944,
173847766,theopolis,https://api.github.com/repos/facebook/osquery/issues/2425,https://github.com/facebook/osquery/milestone/22,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2425/labels{/name},https://github.com/facebook/osquery/issues/2425,False,2016-09-20T21:18:58Z,2016-09-20T21:18:58Z,2425,2016-08-29T19:06:11Z,https://github.com/theopolis,remote Windows ,Windows: run python-based integration tests (including TLS server),https://api.github.com/repos/facebook/osquery/issues/2425/events,https://api.github.com/repos/facebook/osquery/issues/2425/comments,1672944,
173829439,theopolis,https://api.github.com/repos/facebook/osquery/issues/2424,https://github.com/facebook/osquery/milestone/27,https://api.github.com/repos/facebook/osquery,open,https://api.github.com/repos/facebook/osquery/issues/2424/labels{/name},https://github.com/facebook/osquery/issues/2424,False,None,2016-09-06T23:09:40Z,2424,2016-08-29T17:41:16Z,https://github.com/theopolis,build/test packaging Windows ,Windows: release tests for assuring static linking,https://api.github.com/repos/facebook/osquery/issues/2424/events,https://api.github.com/repos/facebook/osquery/issues/2424/comments,1970513,
173828300,theopolis,https://api.github.com/repos/facebook/osquery/issues/2423,https://github.com/facebook/osquery/milestone/22,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2423/labels{/name},https://github.com/facebook/osquery/issues/2423,False,2016-09-12T16:46:53Z,2016-09-12T16:46:53Z,2423,2016-08-29T17:35:49Z,https://github.com/theopolis,build/test remote Windows ,Windows: build and run core and additional tests,https://api.github.com/repos/facebook/osquery/issues/2423/events,https://api.github.com/repos/facebook/osquery/issues/2423/comments,1672944,
171779820,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/issues/2394,https://github.com/facebook/osquery/milestone/27,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2394/labels{/name},https://github.com/facebook/osquery/issues/2394,False,2016-09-07T20:45:47Z,2016-09-07T20:45:47Z,2394,2016-08-17T22:53:57Z,https://github.com/poppyseedplehzr,build/test dependencies Windows ,Add Clang-format Visual Studio Plugin to provisioning,https://api.github.com/repos/facebook/osquery/issues/2394/events,https://api.github.com/repos/facebook/osquery/issues/2394/comments,1970513,
171779715,poppyseedplehzr,https://api.github.com/repos/facebook/osquery/issues/2393,https://github.com/facebook/osquery/milestone/27,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2393/labels{/name},https://github.com/facebook/osquery/issues/2393,False,2017-01-18T20:24:46Z,2017-01-18T20:24:47Z,2393,2016-08-17T22:53:07Z,https://github.com/poppyseedplehzr,deployment packaging Windows ,Windows: script to produce an osquery choco package,https://api.github.com/repos/facebook/osquery/issues/2393/events,https://api.github.com/repos/facebook/osquery/issues/2393/comments,1970513,
171766376,theopolis,https://api.github.com/repos/facebook/osquery/issues/2390,https://github.com/facebook/osquery/milestone/27,https://api.github.com/repos/facebook/osquery,closed,https://api.github.com/repos/facebook/osquery/issues/2390/labels{/name},https://github.com/facebook/osquery/issues/2390,False,2016-09-02T22:04:03Z,2016-09-02T22:04:03Z,2390,2016-08-17T21:35:53Z,https://github.com/theopolis,build/test Windows ,Windows: several hundred lines of WARNINGs during build,https://api.github.com/repos/facebook/osquery/issues/2390/events,https://api.github.com/repos/facebook/osquery/issues/2390/comments,1970513,
